Start_Timestamp,End_Timestamp,Prime,Bit_Length_Prime,2i+1,Bit_Length_2i+1
2025-04-10 00:10:43,2025-04-10 00:10:43,2,2,5,3
2025-04-10 00:10:43,2025-04-10 00:10:43,3,2,7,3
2025-04-10 00:10:43,2025-04-10 00:10:43,5,3,11,4
2025-04-10 00:10:43,2025-04-10 00:10:43,11,4,23,5
2025-04-10 00:10:43,2025-04-10 00:10:43,23,5,47,6
2025-04-10 00:10:43,2025-04-10 00:10:43,29,5,59,6
2025-04-10 00:10:43,2025-04-10 00:10:43,41,6,83,7
2025-04-10 00:10:43,2025-04-10 00:10:43,53,6,107,7
2025-04-10 00:10:43,2025-04-10 00:10:43,83,7,167,8
2025-04-10 00:10:43,2025-04-10 00:10:43,89,7,179,8
2025-04-10 00:10:43,2025-04-10 00:10:43,113,7,227,8
2025-04-10 00:10:43,2025-04-10 00:10:43,131,8,263,9
2025-04-10 00:10:43,2025-04-10 00:10:43,173,8,347,9
2025-04-10 00:10:43,2025-04-10 00:10:43,179,8,359,9
2025-04-10 00:10:43,2025-04-10 00:10:43,191,8,383,9
2025-04-10 00:10:43,2025-04-10 00:10:43,233,8,467,9
2025-04-10 00:10:43,2025-04-10 00:10:43,239,8,479,9
2025-04-10 00:10:43,2025-04-10 00:10:43,251,8,503,9
2025-04-10 00:10:43,2025-04-10 00:10:43,281,9,563,10
2025-04-10 00:10:43,2025-04-10 00:10:43,293,9,587,10
2025-04-10 00:10:43,2025-04-10 00:10:43,359,9,719,10
2025-04-10 00:10:43,2025-04-10 00:10:43,419,9,839,10
2025-04-10 00:10:43,2025-04-10 00:10:43,431,9,863,10
2025-04-10 00:10:43,2025-04-10 00:10:43,443,9,887,10
2025-04-10 00:10:43,2025-04-10 00:10:43,491,9,983,10
2025-04-10 00:10:43,2025-04-10 00:10:43,509,9,1019,10
2025-04-10 00:10:43,2025-04-10 00:10:43,593,10,1187,11
2025-04-10 00:10:43,2025-04-10 00:10:43,641,10,1283,11
2025-04-10 00:10:43,2025-04-10 00:10:43,653,10,1307,11
2025-04-10 00:10:43,2025-04-10 00:10:43,659,10,1319,11
2025-04-10 00:10:43,2025-04-10 00:10:43,683,10,1367,11
2025-04-10 00:10:43,2025-04-10 00:10:43,719,10,1439,11
2025-04-10 00:10:43,2025-04-10 00:10:43,743,10,1487,11
2025-04-10 00:10:43,2025-04-10 00:10:43,761,10,1523,11
2025-04-10 00:10:43,2025-04-10 00:10:43,809,10,1619,11
2025-04-10 00:10:43,2025-04-10 00:10:43,911,10,1823,11
2025-04-10 00:10:43,2025-04-10 00:10:43,953,10,1907,11
2025-04-10 00:10:43,2025-04-10 00:10:43,1013,10,2027,11
2025-04-10 00:10:43,2025-04-10 00:10:43,1019,10,2039,11
2025-04-10 00:10:43,2025-04-10 00:10:44,1031,11,2063,12
2025-04-10 00:10:44,2025-04-10 00:10:44,1049,11,2099,12
2025-04-10 00:10:44,2025-04-10 00:10:44,1103,11,2207,12
2025-04-10 00:10:44,2025-04-10 00:10:44,1223,11,2447,12
2025-04-10 00:10:44,2025-04-10 00:10:44,1229,11,2459,12
2025-04-10 00:10:44,2025-04-10 00:10:44,1289,11,2579,12
2025-04-10 00:10:44,2025-04-10 00:10:44,1409,11,2819,12
2025-04-10 00:10:44,2025-04-10 00:10:44,1439,11,2879,12
2025-04-10 00:10:44,2025-04-10 00:10:44,1451,11,2903,12
2025-04-10 00:10:44,2025-04-10 00:10:44,1481,11,2963,12
2025-04-10 00:10:44,2025-04-10 00:10:44,1499,11,2999,12
2025-04-10 00:10:44,2025-04-10 00:10:44,1511,11,3023,12
2025-04-10 00:10:44,2025-04-10 00:10:44,1559,11,3119,12
2025-04-10 00:10:44,2025-04-10 00:10:44,1583,11,3167,12
2025-04-10 00:10:44,2025-04-10 00:10:44,1601,11,3203,12
2025-04-10 00:10:44,2025-04-10 00:10:44,1733,11,3467,12
2025-04-10 00:10:44,2025-04-10 00:10:45,1811,11,3623,12
2025-04-10 00:10:45,2025-04-10 00:10:45,1889,11,3779,12
2025-04-10 00:10:45,2025-04-10 00:10:45,1901,11,3803,12
2025-04-10 00:10:45,2025-04-10 00:10:45,1931,11,3863,12
